Feature/Cluster	C_0 (15.4%)	C_1 (24.9%)	C_2 (11.1%)	C_3 (11.4%)	C_4 (9.4%)	C_5 (6.6%)	C_6 (7.3%)	C_7 (0.6%)	C_8 (13.4%)	Purity
PlayTVProgram_TRAIN (17.1%)	0	112	0	0	0	5	0	0	3	93.3%
SearchPicture_TRAIN (9.8%)	0	0	0	69	0	0	0	0	0	100.0%
SearchGame_TRAIN (6.4%)	0	45	0	0	0	0	0	0	0	100.0%
WHQuestion_TRAIN (8.5%)	0	12	36	10	1	0	0	0	1	60.0%
SearchCreativeWork_DEV (17.1%)	22	3	8	0	49	2	2	1	33	40.8%
PlaySong_DEV (6.3%)	41	0	0	0	0	0	0	0	3	93.2%
SearchAlbum_DEV (2.7%)	5	0	0	1	0	0	10	0	3	52.6%
PlayTVProgramTrailer_TEST (11.8%)	20	0	33	0	9	1	0	1	19	39.8%
SearchBook_TEST (20.2%)	20	3	1	0	7	38	39	2	32	27.5%
Purity	38.0%	64.0%	46.2%	86.2%	74.2%	82.6%	76.5%	50.0%	35.1%	
