Feature/Cluster	C_0 (18.5%)	C_1 (18.1%)	C_2 (9.7%)	C_3 (6.8%)	C_4 (12.9%)	C_5 (6.6%)	C_6 (2.2%)	C_7 (16.2%)	C_8 (9.1%)	Purity
GetSchedule_TRAIN (8.9%)	1	0	56	0	0	0	0	0	0	98.2%
GetScheduleAtALocation_TRAIN (15.1%)	92	0	0	1	0	1	0	2	0	95.8%
GetScheduleForAMovie_TRAIN (17.0%)	0	64	1	19	18	0	6	0	0	59.3%
GetScheduleForAMovieAtNearbyCinemas_TRAIN (6.1%)	0	16	0	0	22	0	0	0	1	56.4%
GetScheduleAtNearbyCinemas_DEV (13.5%)	8	1	0	0	1	12	0	58	6	67.4%
GetScheduleAtATimeRange_DEV (4.1%)	3	0	5	0	0	5	0	13	0	50.0%
GetScheduleForAnimatedMovies_DEV (5.2%)	3	0	0	0	0	2	0	28	0	84.8%
GetScheduleForAMovieAtALocation_TEST (18.1%)	11	12	0	8	14	22	1	1	46	40.0%
FindCinemasPlayingAMovieAtATimeRange_TEST (12.1%)	0	22	0	15	27	0	7	1	5	35.1%
Purity	78.0%	55.7%	90.3%	44.2%	32.9%	52.4%	50.0%	56.3%	79.3%	
